Date : 2024-03-10 13:00:42
Directory : c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\core
Total : 2904 files,  -759311 codes, -236699 comments, -142850 blanks, all -1138860 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Includes\CMSIS_Files\core_cm4_simd.h                                                | C++              |       -450 |        -46 |       -154 |       -650 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Includes\CMSIS_Files\core_cmFunc.h                                                  | C++              |       -226 |       -273 |       -118 |       -617 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Includes\CMSIS_Files\core_cmInstr.h                                                 | C++              |       -165 |       -328 |       -126 |       -619 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Includes\CMSIS_Files\core_sc000.h                                                   | C++              |       -384 |       -250 |       -165 |       -799 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Includes\CMSIS_Files\core_sc300.h                                                   | C++              |       -856 |       -383 |       -345 |     -1,584 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Includes\Loader_Files\Dev_Inf.h                                                     | C++              |        -26 |          0 |         -4 |        -30 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Project\TrueSTUDIO\IS61WV51216BLL_STM3210E-EVAL\stm32_flash.ld                      | LinkerScript     |        -85 |        -34 |        -20 |       -139 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Sources\Loader_Files\Dev_Inf.c                                                      | C                |        -15 |        -12 |         -3 |        -30 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Sources\Loader_Files\Loader_Src.c                                                   | C                |       -160 |        -69 |        -37 |       -266 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Sources\library_files\stm3210e_eval_fsmc_sram.c                                     | C                |        -74 |       -123 |        -41 |       -238 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Sources\library_files\stm32f10x_fsmc.c                                              | C                |       -484 |       -310 |        -73 |       -867 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Sources\library_files\stm32f10x_gpio.c                                              | C                |       -292 |       -293 |        -66 |       -651 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Sources\library_files\stm32f10x_rcc.c                                               | C                |       -579 |       -744 |       -148 |     -1,471 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Sources\library_files\system_stm32f10x.c                                            | C                |       -553 |       -419 |       -181 |     -1,153 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\M25P64_STM3210E-EVAL\Includes\CMSIS_Files\arm_common_tables.h                                                    | C++              |        -12 |        -22 |         -5 |        -39 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\M25P64_STM3210E-EVAL\Includes\CMSIS_Files\arm_math.h                                                             | C++              |     -2,837 |     -3,514 |     -1,207 |     -7,558 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\M25P64_STM3210E-EVAL\Includes\CMSIS_Files\core_cm0.h                                                             | C++              |       -310 |       -225 |       -133 |       -668 |
| c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\M25P64_STM3210E-EVAL\Includes\CMSIS_Files\core_cm0plus.h                                                         | C++              |       -380 |       -240 |       -159 |       -779 |
