"filename", "language", "Markdown", "LinkerScript", "XML", "CMake", "Makefile", "C", "Assembly", "C++", "YAML", "HTML", "Groovy", "Python", "pip requirements", "Shell Script", "Ini", "JSON", "Batch", "reStructuredText", "SQL", "XSL", "toml", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Sources\library_files\stm3210e_eval_fsmc_sram.c", "C", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 41, 238
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Sources\library_files\stm32f10x_fsmc.c", "C", 0, 0, 0, 0, 0, 484, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 310, 73, 867
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Sources\library_files\stm32f10x_gpio.c", "C", 0, 0, 0, 0, 0, 292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 293, 66, 651
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Sources\library_files\stm32f10x_rcc.c", "C", 0, 0, 0, 0, 0, 579, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 744, 148, 1471
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\IS61WV51216BLL_STM3210E-EVAL\Sources\library_files\system_stm32f10x.c", "C", 0, 0, 0, 0, 0, 553, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 419, 181, 1153
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\M25P64_STM3210E-EVAL\Includes\CMSIS_Files\arm_common_tables.h", "C++", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 5, 39
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\M25P64_STM3210E-EVAL\Includes\CMSIS_Files\arm_math.h", "C++", 0, 0, 0, 0, 0, 0, 0, 2837, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3514, 1207, 7558
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\M25P64_STM3210E-EVAL\Includes\CMSIS_Files\core_cm0.h", "C++", 0, 0, 0, 0, 0, 0, 0, 310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 225, 133, 668
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\M25P64_STM3210E-EVAL\Includes\CMSIS_Files\core_cm0plus.h", "C++", 0, 0, 0, 0, 0, 0, 0, 380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 240, 159, 779
"c:\Users\Jacob\Documents\GitHub\QFSAE\zenith\Q24ECU\Tools\ExternalLoader\M25P64_STM3210E-EVAL\Includes\CMSIS_Files\core_cm3.h", "C++", 0, 0, 0, 0, 0, 0, 0, 878, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 384, 351, 1613
